0-16420 press up
16830-17460 press up
17480-30120 press up
30180-32850 press up
33050-35910 press up
35960-39200 press up
39330-40010 press up
40050-51820 press up
12460-12760 press down
14930-15080 press down
15380-16210 press down
16440-17060 press down
22750-23260 press down
23320-24180 press down
24820-24910 press down
29180-29940 press down
34860-35710 press down
39050-39890 press down
44320-44410 press down
0 steer 0
10 steer 0
20 steer 0
30 steer 0
40 steer 0
50 steer 0
60 steer 0
70 steer 0
80 steer 0
90 steer 0
100 steer 0
110 steer 0
120 steer 0
130 steer 0
140 steer 0
150 steer 0
160 steer 0
170 steer 0
180 steer 0
190 steer 0
200 steer 0
210 steer 0
220 steer 0
230 steer 0
240 steer 0
250 steer 0
260 steer 0
270 steer 0
280 steer 1762
290 steer 8187
300 steer 7949
310 steer 7949
320 steer 7712
330 steer 10092
340 steer 10092
350 steer 11043
360 steer 12472
370 steer 12472
380 steer 14136
390 steer 16041
400 steer 16041
410 steer 16754
420 steer 16754
430 steer 16754
440 steer 16754
450 steer 16754
460 steer 16754
470 steer 16754
480 steer 16754
490 steer 16754
500 steer 16754
510 steer 16754
520 steer 16754
530 steer 16754
540 steer 16754
550 steer 16754
560 steer 16754
570 steer 16754
580 steer 16754
590 steer 16754
600 steer 16754
610 steer 16754
620 steer 16754
630 steer 16754
640 steer 16754
650 steer 16754
660 steer 16754
670 steer 16754
680 steer 16754
690 steer 16754
700 steer 16754
710 steer 16754
720 steer 16754
730 steer 16754
740 steer 16754
750 steer 16754
760 steer 16754
770 steer 16754
780 steer 17467
790 steer 17467
800 steer 17467
810 steer 17467
820 steer 17467
830 steer 17467
840 steer 17467
850 steer 17467
860 steer 17467
870 steer 17467
880 steer 17467
890 steer 17467
900 steer 17467
910 steer 17467
920 steer 17467
930 steer 17467
940 steer 17467
950 steer 17467
960 steer 17467
970 steer 17467
980 steer 17467
990 steer 17467
1000 steer 17467
1010 steer 17467
1020 steer 18659
1030 steer 18659
1040 steer 18659
1050 steer 18183
1060 steer 20801
1070 steer 24132
1080 steer 23654
1090 steer 22703
1100 steer 22703
1110 steer 24845
1120 steer 25321
1130 steer 25321
1140 steer 25321
1150 steer 25321
1160 steer 25321
1170 steer 25321
1180 steer 25321
1190 steer 25321
1200 steer 25321
1210 steer 24608
1220 steer 24608
1230 steer 24608
1240 steer 24608
1250 steer 24608
1260 steer 24608
1270 steer 24608
1280 steer 23894
1290 steer 23894
1300 steer 23894
1310 steer 23894
1320 steer 23894
1330 steer 23894
1340 steer 23894
1350 steer 23894
1360 steer 23894
1370 steer 23894
1380 steer 23894
1390 steer 23894
1400 steer 23894
1410 steer 23894
1420 steer 23894
1430 steer 23894
1440 steer 23894
1450 steer 14136
1460 steer 3189
