600-18090 press up
0-1180 press down
4880-5100 press down
0 steer 0
10 steer 0
20 steer 0
30 steer 0
40 steer 0
50 steer 0
60 steer 0
70 steer 0
80 steer 0
90 steer 0
100 steer 0
110 steer 0
120 steer 0
130 steer 0
140 steer 0
150 steer 0
160 steer 0
170 steer 0
180 steer 0
190 steer 0
200 steer 0
210 steer 0
220 steer 0
230 steer 0
240 steer -7513
250 steer -34537
260 steer -51473
270 steer -65536
280 steer -65536
290 steer -65536
300 steer -65536
310 steer -65536
320 steer -65536
330 steer -65536
340 steer -65536
350 steer -65536
360 steer -65536
370 steer -65536
380 steer -65536
390 steer -65536
400 steer -65536
410 steer -65536
420 steer -65536
430 steer -65536
440 steer -65536
450 steer -65536
460 steer -65536
470 steer -65536
480 steer -65536
490 steer -65536
500 steer -65536
510 steer -65536
520 steer -65536
530 steer -65536
540 steer -50588
550 steer -28350
560 steer -5009
570 steer 0
580 steer 17970
590 steer 37260
600 steer 60161
610 steer 65536
620 steer 65536
630 steer 65536
640 steer 65536
650 steer 65536
660 steer 65536
670 steer 65536
680 steer 65536
690 steer 65536
700 steer 65536
710 steer 65536
720 steer 65536
730 steer 65536
740 steer 65536
750 steer 65536
760 steer 65536
770 steer 65536
780 steer 65536
790 steer 65536
800 steer 65536
810 steer 65536
820 steer 65536
830 steer 65536
840 steer 65536
850 steer 65536
860 steer 65536
870 steer 65536
880 steer 65536
890 steer 65536
900 steer 65536
910 steer 65536
920 steer 65536
930 steer 65536
940 steer 65536
950 steer 65536
960 steer 65536
970 steer 65536
980 steer 65536
990 steer 65536
1000 steer 65536
1010 steer 65536
1020 steer 65536
1030 steer 65536
1040 steer 65536
1050 steer 65536
1060 steer 65536
1070 steer 65536
1080 steer 65536
1090 steer 65536
1100 steer 65536
1110 steer 65536
1120 steer 65536
1130 steer 65536
1140 steer 65536
1150 steer 65536
1160 steer 65536
1170 steer 65536
1180 steer 65536
1190 steer 65536
1200 steer 65536
1210 steer 65536
1220 steer 65536
1230 steer 65536
1240 steer 50958
1250 steer 48187
1260 steer 19985
1270 steer 2801
1280 steer 1824
1290 steer 0
1300 steer 0
1310 steer 0
1320 steer 0
1330 steer 0
1340 steer 0
1350 steer 0
1360 steer 0
1370 steer 0
1380 steer -16717
1390 steer -17793
1400 steer -20288
1410 steer -22962
1420 steer -42255
1430 steer -45012
1440 steer -62591
1450 steer -65536
1460 steer -65536
1470 steer -65536
1480 steer -65536
1490 steer -65536
1500 steer -65536
1510 steer -65536
1520 steer -65536
1530 steer -65536
1540 steer -65536
1550 steer -58573
1560 steer -38585
1570 steer -36912
1580 steer -19441
1590 steer -17379
1600 steer -15613
1610 steer -13991
1620 steer -11710
1630 steer -11710
1640 steer -13168
1650 steer -15517
1660 steer -31917
1670 steer -34518
1680 steer -50221
1690 steer -51652
1700 steer -65536
1710 steer -65536
1720 steer -65536
1730 steer -65536
1740 steer -65536
1750 steer -65536
1760 steer -65536
1770 steer -65536
1780 steer -63716
1790 steer -60811
1800 steer -38955
1810 steer -37145
1820 steer -17379
1830 steer -12574
1840 steer 0
1850 steer 0
1860 steer 0
1870 steer 0
1880 steer 0
1890 steer 0
1900 steer 0
1910 steer 0
1920 steer 0
1930 steer 0
1940 steer 0
1950 steer 0
1960 steer 0
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 0
2020 steer 0
2030 steer -8469
2040 steer -10164
2050 steer -12198
2060 steer -15705
2070 steer -17012
2080 steer -18061
2090 steer -18885
2100 steer -19542
2110 steer -19937
2120 steer -20090
2130 steer -20090
2140 steer -20578
2150 steer -22313
2160 steer -24052
2170 steer -26253
2180 steer -31371
2190 steer -33967
2200 steer -36102
2210 steer -37794
2220 steer -39986
2230 steer -39986
2240 steer -38743
2250 steer -37345
2260 steer -35090
2270 steer -34315
2280 steer -34494
2290 steer -36184
2300 steer -38990
2310 steer -60326
2320 steer -60590
2330 steer -60802
2340 steer -60971
2350 steer -61197
2360 steer -61197
2370 steer -61197
2380 steer -61197
2390 steer -61357
2400 steer -61357
2410 steer -61357
2420 steer -61357
2430 steer -61357
2440 steer -61357
2450 steer -61357
2460 steer -61621
2470 steer -61873
2480 steer -60736
2490 steer -57970
2500 steer -35789
2510 steer -33993
2520 steer -32571
2530 steer -31199
2540 steer -29038
2550 steer -28315
2560 steer -28913
2570 steer -31024
2580 steer -51179
2590 steer -54860
2600 steer -56157
2610 steer -57238
2620 steer -58118
2630 steer -59319
2640 steer -59757
2650 steer -60119
2660 steer -60411
2670 steer -60773
2680 steer -60773
2690 steer -61023
2700 steer -61023
2710 steer -61192
2720 steer -61192
2730 steer -61357
2740 steer -61357
2750 steer -61357
2760 steer -61357
2770 steer -61534
2780 steer -61534
2790 steer -61534
2800 steer -61534
2810 steer -61534
2820 steer -61534
2830 steer -61534
2840 steer -61534
2850 steer -61534
2860 steer -61534
2870 steer -61534
2880 steer -61534
2890 steer -61534
2900 steer -61534
2910 steer -61534
2920 steer -61534
2930 steer -61534
2940 steer -61534
2950 steer -61534
2960 steer -61534
2970 steer -61534
2980 steer -61534
2990 steer -61534
3000 steer -61534
3010 steer -61534
3020 steer -61534
3030 steer -61534
3040 steer -61534
3050 steer -61534
3060 steer -61534
3070 steer -61534
3080 steer -61534
3090 steer -61534
3100 steer -61534
3110 steer -61534
3120 steer -61534
3130 steer -61534
3140 steer -61534
3150 steer -61534
3160 steer -61534
3170 steer -61534
3180 steer -61534
3190 steer -61534
3200 steer -61534
3210 steer -61534
3220 steer -61534
3230 steer -61684
3240 steer -61684
3250 steer -61684
3260 steer -61684
3270 steer -61684
3280 steer -61684
3290 steer -61684
3300 steer -61684
3310 steer -61684
3320 steer -61684
3330 steer -61684
3340 steer -61684
3350 steer -61684
3360 steer -61684
3370 steer -61684
3380 steer -61684
3390 steer -61684
3400 steer -61684
3410 steer -61873
3420 steer -60797
3430 steer -35198
3440 steer 0
3450 steer 2653
3460 steer 18337
3470 steer 37260
3480 steer 65536
3490 steer 65536
3500 steer 65536
3510 steer 65536
3520 steer 65536
3530 steer 65536
3540 steer 65536
3550 steer 65536
3560 steer 65536
3570 steer 65536
3580 steer 65536
3590 steer 65536
3600 steer 65536
3610 steer 65536
3620 steer 65536
3630 steer 65536
3640 steer 65536
3650 steer 65536
3660 steer 65536
3670 steer 65536
3680 steer 65536
3690 steer 65536
3700 steer 65536
3710 steer 65536
3720 steer 65536
3730 steer 65536
3740 steer 65536
3750 steer 65536
3760 steer 65536
3770 steer 65536
3780 steer 65536
3790 steer 65536
3800 steer 65535
3810 steer 65535
3820 steer 65535
3830 steer 65535
3840 steer 65535
3850 steer 65535
3860 steer 65535
3870 steer 65535
3880 steer 65535
3890 steer 65535
3900 steer 65535
3910 steer 65535
3920 steer 65535
3930 steer 65535
3940 steer 65534
3950 steer 65534
3960 steer 65534
3970 steer 65534
3980 steer 65534
3990 steer 65534
4000 steer 65534
4010 steer 65534
4020 steer 65534
4030 steer 65534
4040 steer 65534
4050 steer 65534
4060 steer 62617
4070 steer 50765
4080 steer 25881
4090 steer 22325
4100 steer 14251
4110 steer 13380
4120 steer 10686
4130 steer 9507
4140 steer 8053
4150 steer 7198
4160 steer 7171
4170 steer 7768
4180 steer 8971
4190 steer 10817
4200 steer 11996
4210 steer 9890
4220 steer 2938
4230 steer 2160
4240 steer -261
4250 steer -522
4260 steer -1331
4270 steer -1684
4280 steer -2120
4290 steer -2377
4300 steer -2385
4310 steer -2206
4320 steer -1845
4330 steer -1291
4340 steer 8126
4350 steer 9143
4360 steer 12684
4370 steer 13956
4380 steer 14059
4390 steer 3342
4400 steer 3306
4410 steer -2789
4420 steer -3904
4430 steer -6254
4440 steer -9486
4450 steer -11066
4460 steer -12793
4470 steer -13636
4480 steer -11540
4490 steer -11363
4500 steer -10147
4510 steer -9228
4520 steer -7561
4530 steer -9899
4540 steer -8666
4550 steer -9361
4560 steer -7343
4570 steer -6781
4580 steer -6062
4590 steer -5124
4600 steer -4438
4610 steer -4356
4620 steer -4254
4630 steer -4253
4640 steer -4193
4650 steer -4024
4660 steer -3533
4670 steer -3270
4680 steer -2897
4690 steer -2105
4700 steer -827
4710 steer 170
4720 steer 448
4730 steer -89
4740 steer 151
4750 steer 0
4760 steer -18337
4770 steer -52723
4780 steer -65536
4790 steer -65536
4800 steer -65536
4810 steer -65536
4820 steer -65536
4830 steer -65536
4840 steer -65536
4850 steer -65536
4860 steer -65536
4870 steer -65536
4880 steer -65536
4890 steer -65536
4900 steer -65536
4910 steer -65536
4920 steer -65536
4930 steer -65536
4940 steer -65536
4950 steer -65536
4960 steer -65536
4970 steer -65536
4980 steer -65536
4990 steer -65536
5000 steer -65536
5010 steer -65536
5020 steer -65536
5030 steer -65536
5040 steer -65536
5050 steer -65536
5060 steer -65536
5070 steer -65536
5080 steer -65536
5090 steer -65536
5100 steer -65536
5110 steer -65536
5120 steer -65536
5130 steer -65536
5140 steer -65536
5150 steer -65536
5160 steer -65536
5170 steer -65536
5180 steer -65536
5190 steer -65536
5200 steer -65536
5210 steer -65536
5220 steer -65536
5230 steer -65536
5240 steer -65536
5250 steer -65536
5260 steer -65536
5270 steer -65536
5280 steer -65536
5290 steer -65536
5300 steer -61120
5310 steer -58895
5320 steer -35346
5330 steer -8544
5340 steer -6941
5350 steer -4218
5360 steer 0
5370 steer 0
5380 steer 0
5390 steer 0
5400 steer 0
5410 steer 0
5420 steer 0
5430 steer 0
5440 steer 0
5450 steer 0
5460 steer 0
5470 steer 0
5480 steer 0
5490 steer 0
5500 steer 0
5510 steer 0
5520 steer 0
5530 steer 0
5540 steer 0
5550 steer 0
5560 steer 0
5570 steer 0
5580 steer 0
5590 steer 0
5600 steer 0
5610 steer 0
5620 steer 0
5630 steer 0
5640 steer 0
5650 steer 0
5660 steer 0
5670 steer 0
5680 steer 0
5690 steer 0
5700 steer 0
5710 steer 0
5720 steer 0
5730 steer 0
5740 steer 0
5750 steer 0
5760 steer 0
5770 steer 0
5780 steer 0
5790 steer 0
5800 steer 0
5810 steer 0
5820 steer 0
5830 steer 0
5840 steer 0
5850 steer 0
5860 steer 0
5870 steer 0
5880 steer 0
5890 steer 0
5900 steer 0
5910 steer 0
5920 steer 0
5930 steer 0
5940 steer 0
5950 steer 0
5960 steer 0
5970 steer 0
5980 steer 0
5990 steer 0
6000 steer 0
6010 steer 0
6020 steer 0
6030 steer 0
6040 steer 0
6050 steer 0
6060 steer -2451
6070 steer -4546
6080 steer -22827
6090 steer -23986
6100 steer -39527
6110 steer -50412
6120 steer -50412
6130 steer -50412
6140 steer -50412
6150 steer -51147
6160 steer -51776
6170 steer -57260
6180 steer -57608
6190 steer -62270
6200 steer -65535
6210 steer -65535
6220 steer -65535
6230 steer -65535
6240 steer -65535
6250 steer -65535
6260 steer -65535
6270 steer -65535
6280 steer -65535
6290 steer -65535
6300 steer -65535
6310 steer -65535
6320 steer -65535
6330 steer -65535
6340 steer -65535
6350 steer -65535
6360 steer -65535
6370 steer -55623
6380 steer -42142
6390 steer -41622
6400 steer -41116
6410 steer -40348
6420 steer -40086
6430 steer -39877
6440 steer -39877
6450 steer -39877
6460 steer -36903
6470 steer -33256
6480 steer -35153
6490 steer -58209
6500 steer -57979
6510 steer -57900
6520 steer -57838
6530 steer -57838
6540 steer -57838
6550 steer -57838
6560 steer -57957
6570 steer -58573
6580 steer -65535
6590 steer -58343
6600 steer -56067
6610 steer -39366
6620 steer -37632
6630 steer -36986
6640 steer -37824
6650 steer -51877
6660 steer -57685
6670 steer -57164
6680 steer -56970
6690 steer -57222
6700 steer -62290
6710 steer -65535
6720 steer -65535
6730 steer -65535
6740 steer -65535
6750 steer -65535
6760 steer -65535
6770 steer -65535
6780 steer -65535
6790 steer -65535
6800 steer -65535
6810 steer -65535
6820 steer -65535
6830 steer -65535
6840 steer -65535
6850 steer -65535
6860 steer -65535
6870 steer -65535
6880 steer -65535
6890 steer -65535
6900 steer -65535
6910 steer -65535
6920 steer -65535
6930 steer -65535
6940 steer -65535
6950 steer -65535
6960 steer -65535
6970 steer -65535
6980 steer -65535
6990 steer -65535
7000 steer -65535
7010 steer -65535
7020 steer -65535
7030 steer -65535
7040 steer -65535
7050 steer -65535
7060 steer -65535
7070 steer -65535
7080 steer -65535
7090 steer -65535
7100 steer -65535
7110 steer -65535
7120 steer -65535
7130 steer -65535
7140 steer -65535
7150 steer -65535
7160 steer -65535
7170 steer -65535
7180 steer -65535
7190 steer -65535
7200 steer -65535
7210 steer -65535
7220 steer -65535
7230 steer -65535
7240 steer -65535
7250 steer -65535
7260 steer -65535
7270 steer -65535
7280 steer -65535
7290 steer -65535
7300 steer -65535
7310 steer -65535
7320 steer -65535
7330 steer -65535
7340 steer -65535
7350 steer -65535
7360 steer -65535
7370 steer -65535
7380 steer -65535
7390 steer -65535
7400 steer -65535
7410 steer -65535
7420 steer -65535
7430 steer -65535
7440 steer -65535
7450 steer -65535
7460 steer -65535
7470 steer -65535
7480 steer -65535
7490 steer -65535
7500 steer -65535
7510 steer -65535
7520 steer -65535
7530 steer -65535
7540 steer -65535
7550 steer -65535
7560 steer -65535
7570 steer -65535
7580 steer -65535
7590 steer -65535
7600 steer -65536
7610 steer -65536
7620 steer -65536
7630 steer -65536
7640 steer -65536
7650 steer -65536
7660 steer -65536
7670 steer -65536
7680 steer -65536
7690 steer -65536
7700 steer -65536
7710 steer -65536
7720 steer -65536
7730 steer -65536
7740 steer -65536
7750 steer -65536
7760 steer -65536
7770 steer -65536
7780 steer -65536
7790 steer -65536
7800 steer -65536
7810 steer -62885
7820 steer -60105
7830 steer -4345
7840 steer 0
7850 steer 18631
7860 steer 38291
7870 steer 65536
7880 steer 65536
7890 steer 65536
7900 steer 65536
7910 steer 65536
7920 steer 65536
7930 steer 65536
7940 steer 59719
7950 steer 55498
7960 steer 53410
7970 steer 51812
7980 steer 50520
7990 steer 50795
8000 steer 65536
8010 steer 65536
8020 steer 65536
8030 steer 65536
8040 steer 65536
8050 steer 65536
8060 steer 65536
8070 steer 65536
8080 steer 65536
8090 steer 65536
8100 steer 65536
8110 steer 65536
8120 steer 65536
8130 steer 65536
8140 steer 65536
8150 steer 65536
8160 steer 65536
8170 steer 65536
8180 steer 65536
8190 steer 65536
8200 steer 65536
8210 steer 65536
8220 steer 65536
8230 steer 65536
8240 steer 65536
8250 steer 62518
8260 steer 61910
8270 steer 57120
8280 steer 40574
8290 steer 39925
8300 steer 39360
8310 steer 38564
8320 steer 38978
8330 steer 40574
8340 steer 42502
8350 steer 46963
8360 steer 49541
8370 steer 51796
8380 steer 54456
8390 steer 58248
8400 steer 59573
8410 steer 60616
8420 steer 61449
8430 steer 62118
8440 steer 63179
8450 steer 65536
8460 steer 65536
8470 steer 65536
8480 steer 65536
8490 steer 65536
8500 steer 65536
8510 steer 65536
8520 steer 65536
8530 steer 65536
8540 steer 65536
8550 steer 65536
8560 steer 65536
8570 steer 65536
8580 steer 65536
8590 steer 65536
8600 steer 65536
8610 steer 65536
8620 steer 65536
8630 steer 65536
8640 steer 65536
8650 steer 65536
8660 steer 65536
8670 steer 65536
8680 steer 65536
8690 steer 65536
8700 steer 65536
8710 steer 65536
8720 steer 65536
8730 steer 65536
8740 steer 65536
8750 steer 65536
8760 steer 65536
8770 steer 65536
8780 steer 65536
8790 steer 65536
8800 steer 65536
8810 steer 65536
8820 steer 65536
8830 steer 65536
8840 steer 65536
8850 steer 65536
8860 steer 65536
8870 steer 65536
8880 steer 65536
8890 steer 65536
8900 steer 65536
8910 steer 65536
8920 steer 65536
8930 steer 65536
8940 steer 65536
8950 steer 65536
8960 steer 65536
8970 steer 65536
8980 steer 65536
8990 steer 65536
9000 steer 65536
9010 steer 65536
9020 steer 65536
9030 steer 65536
9040 steer 65536
9050 steer 65536
9060 steer 65536
9070 steer 65536
9080 steer 65536
9090 steer 65536
9100 steer 65536
9110 steer 65536
9120 steer 65536
9130 steer 65536
9140 steer 65536
