0-18090 press up
13050 steer 24370
13060 steer 25559
13070 steer 35077
13080 steer 45073
13090 steer 46499
13100 steer 45786
13110 steer 62207
13120 steer 65062
13130 steer 65536
13170 steer 63633
13180 steer 65536
14640 steer 65062
14650 steer 51497
14660 steer 32699
14670 steer 34126
14680 steer 18421
14690 steer 12947
14700 steer 0
14900 steer 2476
14910 steer 12472
14920 steer 16278
14930 steer 14612
14940 steer 21276
14950 steer 33650
14960 steer 40313
14970 steer 49833
14980 steer 47453
15000 steer 63633
15010 steer 65062
15020 steer 65536
15190 steer 49593
15200 steer 28652
15210 steer 16516
15220 steer 0
15230 steer -15561
15240 steer -21985
15250 steer -29126
15260 steer -41261
15270 steer -43879
15310 steer -40070
15320 steer -32457
15330 steer -7707
15340 steer 0
16110-16220 press down
16200 steer -1282
16210 steer 0
16220 steer -1045
16400 steer 0
16540 steer 1049
16560 steer 2951
16580 steer 6285
16590 steer 8187
16600 steer 12947
16610 steer 15565
16620 steer 18183
16630 steer 21990
16640 steer 37219
16650 steer 41504
16660 steer 51260
16670 steer 56020
16680 steer 65536
16790 steer 65062
16800 steer 46024
16810 steer 47215
16820 steer 26750
16840 steer 6998
16850 steer 0
16890 steer -807
16900 steer 0
16990 steer 12709
17000 steer 16278
17010 steer 21039
17020 steer 23894
17030 steer 49593
17040 steer 52688
17050 steer 48642
17060 steer 56733
17070 steer 53402
17080 steer 58638
17090 steer 60540
17100 steer 59589
17110 steer 58875
17120 steer 44835
17130 steer 31032
17140 steer 18183
17150 steer 7949
17160 steer 0
17200 steer -1996
17210 steer -2711
17260 steer -1996
17400 steer -6280
17410 steer -6994
17430 steer -8660
17440 steer -10563
17460 steer -15561
17500 steer -16274
17570 steer -14847
17580 steer 0
17640 steer -1758
17650 steer -6043
17660 steer -14847
17680 steer -17941
17690 steer -20321
17700 steer -24603
17710 steer -28410
17730 steer -32932
17890 steer -31981
17900 steer -20321
17910 steer -15798
17920 steer -4614
17930 steer 0
17990 steer 811
18010 steer 1762
18050 steer 6760
18060 steer 7712
18070 steer 16041
18080 steer 20323
18090 steer 22465
18100 steer 30557
18120 steer 31983
18150 steer 13423
18160 steer 6998
18170 steer 2476
18180 steer 0
18210 steer -3425
18220 steer -4851
18230 steer -6518
18280-18390 press up
18320 steer -7469
18330 steer -6518
18350 steer -8423
18370 steer -9612
18380 steer -12705
18390 steer -14847
18400 steer -15798
18410 steer -17703
18420 steer -23652
18420-28400 press up
18430 steer -22223
18440 steer -29126
18450 steer -35075
18460 steer -43879
18480 steer -49353
18490 steer -52446
18510 steer -54111
18530 steer -54826
18540 steer -53635
18550 steer -56491
18560 steer -61251
18570 steer -62440
18580 steer -60775
18590 steer -62440
18630 steer -61489
18670 steer -60775
18680 steer -60538
18690 steer -48399
18700 steer -33170
18710 steer 0
18900 steer -1520
18980 steer -2234
19000 steer -2474
19010 steer -3187
19020 steer -3900
19040 steer -3187
19080 steer 0
19400 steer 1049
19410 steer 1762
19420 steer 3429
19440 steer 7236
19460 steer 6998
19470 steer 12947
19480 steer 16041
19490 steer 16516
19510 steer 18421
