0-7760 press up
18200 steer 21832
18210 steer 4981
18220 steer 0
18700 steer 5507
18710 steer 11299
18720 steer 15512
18730 steer 21832
18740 steer 29730
18750 steer 35522
18760 steer 41314
18770 steer 47633
18780 steer 50266
18790 steer 63956
18800 steer 65536
19120 steer 58164
19130 steer 39208
19140 steer 26044
19150 steer 11299
19160 steer 0
19180 steer -10677
19190 steer -31575
19200 steer -59788
19210 steer -65536
19350 steer -64491
19360 steer -52996
19370 steer -40980
19380 steer -21648
19390 steer 0
19440 steer 9720
19450 steer 14458
19460 steer 18144
19510 steer 17618
19520 steer 19724
19530 steer 22359
19540 steer 27624
19550 steer 31837
19560 steer 34996
19570 steer 36575
19580 steer 37102
19600 steer 35522
19610 steer 33416
19620 steer 30257
19630 steer 22359
19640 steer 10773
19650 steer 0
19710 steer -10154
19720 steer -21648
19730 steer -32098
19740 steer -42547
19750 steer -50906
19760 steer -65536
20170 steer -54564
20180 steer -34710
20190 steer -10154
20200 steer 0
20220 steer 19724
20230 steer 46053
20240 steer 65536
20420-20560 press down
23590 steer 49213
23600 steer 29730
23610 steer 10773
23620 steer 768
23630 steer 0
