0-7750 press up
8280 steer 0
8300 steer -39217
8310 steer 32477
8320 steer 0
8330 steer 62545
8340 steer -42180
8350 steer -6550
8360 steer -49683
8370 steer -12394
8380 steer -31493
8390 steer -16091
8400 steer 0
8410 steer 54890
8420 steer 20960
8430 steer -34777
8440 steer 0
8460 steer -18027
8470 steer -14524
8480 steer 0
8490 steer 45768
8500 steer 55884
8510 steer 14433
8520 steer -543
8530 steer 0
8540 steer -41299
8550 steer 19048
8560 steer 0
8570 steer -25769
8580 steer 0
8590 steer -15191
8600 steer 41621
8610 steer -37255
8620 steer 0
8640 steer 60190
8650 steer 0
8660 steer -42526
8670 steer 0
8690 steer -60139
8700 steer -21626
8710 steer -61941
8720 steer -58828
8730 steer -27224
8740 steer 0
8750 steer -41912
8760 steer -8622
8770 steer 17123
8780 steer 0
8790 steer 1699
8810 steer -41985
8820 steer 46697
8830 steer 14520
8840 steer -11741
8850 steer -14029
8860 steer 7550
8870 steer -65514
8880 steer 7550
8890 steer 45203
8900 steer -19646
8910 steer 47448
8920 steer 7550
8930 steer 31709
8940 steer -55572
8950 steer 7550
8960 steer 62934
8970 steer -56989
8980 steer -40502
8990 steer 7550
9000 steer 17063
9010 steer -54422
9020 steer 61685
9030 steer 26715
9040 steer 38816
9050 steer 42766
9060 steer 44595
9070 steer 35512
9080 steer 48218
9100 steer 25316
9110 steer 51094
9120 steer 51793
9130 steer -49150
9140 steer 52840
9150 steer 46035
9160 steer 54955
9170 steer 53915
9180 steer 54184
9200 steer 54356
9250 steer 54582
9260 steer 59179
9270 steer 54582
9320 steer 64916
9330 steer 13753
9340 steer -6462
9350 steer 57460
9360 steer 11922
9370 steer 51657
9380 steer 54582
9410 steer -27627
9420 steer 54582
9430 steer 12506
9440 steer 34093
9450 steer 39985
9460 steer 48757
9470 steer 54761
9480 steer 9601
9490 steer -4864
9500 steer 32218
9510 steer -20539
9520 steer 7057
9530 steer 6805
9540 steer -58673
9550 steer 56282
9560 steer -1038
9570 steer 6208
