0-16420 press up
15500 steer -36263
15510 steer -35550
15520 steer -55777
15530 steer -56729
15540 steer -65536
15550 steer -62915
15560 steer -65536
16030 steer -51493
16050 steer -16990
16060 steer -6518
16070 steer 0
16080 steer 2476
16100 steer 24845
16110 steer 33888
16120 steer 48404
16130 steer 65536
16440-17060 press down
16830-17460 press up
17480-30120 press up
19750 steer 61731
19760 steer 56257
19770 steer 49117
19790 steer 34601
19810 steer 20323
19820 steer 12709
19830 steer 2714
19840 steer 0
19970 steer -4614
19980 steer -8898
19990 steer -12467
20000 steer -15561
20010 steer -17941
20020 steer -24365
20030 steer -34361
20050 steer -38168
20060 steer -37217
20070 steer -46973
20080 steer -49115
20090 steer -53397
20100 steer -56253
20120 steer -55540
20130 steer -56729
20140 steer -58158
20180 steer -32694
20200 steer -19605
20210 steer 0
20310 steer -4614
20320 steer -11754
20330 steer -15561
20360 steer -14847
20370 steer -13418
20390 steer -14134
20480 steer -17941
20500 steer -23652
20510 steer -23414
20520 steer -27934
20530 steer -37455
20540 steer -45306
20550 steer -52922
20560 steer -53873
20570 steer -55064
20580 steer -57204
20590 steer -56253
20600 steer -58871
20640 steer -59346
20650 steer -45544
20660 steer -35788
20670 steer -4376
20680 steer 0
20840 steer -7707
20850 steer -15323
20860 steer -17465
20870 steer -18178
20880 steer -21272
20890 steer -24128
20900 steer -21272
20910 steer -21985
20920 steer -23414
20980 steer -23176
20990 steer -3187
21000 steer 0
21090 steer -10325
21100 steer -17941
21110 steer -20796
21120 steer -21034
21140 steer -29363
21150 steer -34599
21170 steer -32694
21180 steer -31266
21220 steer -23176
21230 steer -18416
21240 steer 0
21260 steer 811
21270 steer 1525
21290 steer 0
21330 steer -4376
21340 steer -15085
21350 steer -16750
21370 steer -18892
21380 steer -22223
21390 steer -24365
21400 steer -21510
21420 steer -26508
21430 steer -27221
21440 steer -26983
21450 steer -28410
21460 steer -27697
21480 steer -28410
21490 steer -29126
21520 steer -16990
21530 steer -14372
21540 steer -1996
21550 steer 0
21570 steer -1996
21590 steer -3425
21600 steer -7231
21610 steer -16274
21620 steer -17465
21640 steer -21034
21650 steer -24365
21660 steer -23414
21730 steer -807
21740 steer 0
22080 steer 1287
22090 steer 2476
22110 steer 3429
22130 steer 7474
22150 steer 14136
22170 steer 16754
22180 steer 21514
22190 steer 22703
22200 steer 27225
22210 steer 31270
22220 steer 33888
22230 steer 34363
22240 steer 36981
22250 steer 37932
22260 steer 36744
22270 steer 41741
22280 steer 45548
22290 steer 62444
22310 steer 65536
22750-23260 press down
23320-24180 press down
24720 steer 55304
24730 steer 41266
24740 steer 29128
24750 steer 13185
24760 steer 0
24770 steer -807
24780 steer -6280
24790 steer -9136
24800 steer -14847
24820 steer -20083
24820-24910 press down
24830 steer -27221
24850 steer -35075
24860 steer -39119
24870 steer -34361
24880 steer -53873
24890 steer -57204
24910 steer -61013
24930 steer -65536
25150 steer -64582
25160 steer -35312
25170 steer -23414
25180 steer -15085
25190 steer 0
25240 steer 811
25250 steer 1287
25270 steer 1762
25290 steer 2476
25300 steer 1287
25340 steer 2000
25370 steer 7474
25380 steer 9616
25390 steer 19610
25410 steer 26750
25430 steer 37932
25440 steer 51260
25450 steer 52688
25460 steer 61731
25470 steer 62682
25480 steer 65536
26080 steer 50784
26100 steer 52448
26110 steer 51735
26120 steer 52448
26130 steer 51735
26140 steer 50308
26150 steer 58160
26160 steer 61493
26170 steer 65536
26470 steer 59113
26490 steer 47928
26500 steer 41266
26510 steer 36744
26520 steer 26272
26530 steer 11281
26540 steer 2238
26550 steer 0
26680 steer 5569
26690 steer 23179
26700 steer 29366
26710 steer 33888
26720 steer 40550
26740 steer 39837
26750 steer 40550
26760 steer 39599
26800 steer 38170
26810 steer 31508
26820 steer 18659
26830 steer 1049
26850 steer 0
26990 steer 10329
27000 steer 19372
27020 steer 22941
27030 steer 26272
27050 steer 27225
27070 steer 26510
27110 steer 24608
27120 steer 14850
27130 steer 4143
27140 steer 0
27150 steer 1287
27160 steer 0
27410 steer 11281
27420 steer 16278
27440 steer 22941
27450 steer 24608
27460 steer 26988
27470 steer 23894
27480 steer 24608
27510 steer 23894
27520 steer 11043
27530 steer 8187
27540 steer 3667
27550 steer 2000
27560 steer 0
27620 steer 3189
27630 steer 7236
27640 steer 22228
27660 steer 26988
27670 steer 30319
27680 steer 34126
27690 steer 38410
27700 steer 40075
27710 steer 41266
27720 steer 45548
27730 steer 50308
27740 steer 51973
27750 steer 52926
27760 steer 56971
27780 steer 51497
27820 steer 50308
27830 steer 48642
27840 steer 43406
27850 steer 35555
27860 steer 33650
27870 steer 34363
27880 steer 25559
27890 steer 13423
27900 steer 2238
27910 steer 0
27980 steer -4138
28000 steer -6994
28020 steer -8185
28030 steer -8898
28040 steer -11992
28060 steer -12705
28140 steer -11992
28180 steer -8185
28190 steer -1520
28200 steer 0
28220 steer 811
28230 steer 2238
28260 steer 0
28710 steer -5089
28720 steer -12705
28730 steer -17465
28740 steer -24128
28750 steer -25794
28760 steer -38881
28770 steer -43404
28780 steer -53635
28800 steer -52684
28820 steer -51971
28850 steer -49115
28860 steer -17227
28870 steer -13656
28880 steer 0
28890 steer 811
28900 steer 3429
28910 steer 2238
28920 steer 13185
28940 steer 27225
28950 steer 40788
28970 steer 49593
28980 steer 57209
28990 steer 62682
29000 steer 65536
29180-29940 press down
29320 steer 57446
29330 steer 43168
29340 steer 37219
29350 steer 36268
29360 steer 31746
29370 steer 29606
29380 steer 26510
29390 steer 41979
29410 steer 63871
29420 steer 65536
30180-32850 press up
32180 steer 62207
32190 steer 65536
32200 steer 51022
32210 steer 24132
32230 steer 13423
32240 steer 5331
32250 steer 0
32270 steer -1045
32280 steer -6280
32290 steer -8185
32300 steer -11992
32310 steer -12705
32320 steer -15798
32340 steer -24841
32350 steer -52922
32370 steer -65295
32380 steer -61013
32390 steer -65536
33050-35910 press up
34300 steer -55064
34320 steer -18416
34330 steer 0
34490 steer -4376
34500 steer -12705
34510 steer -15798
34520 steer -19367
34530 steer -23652
34540 steer -31266
34550 steer -47924
34570 steer -58395
34580 steer -65536
34860-35710 press down
35960-39200 press up
36770 steer -31506
36780 steer -20796
36790 steer 0
36830 steer 811
36840 steer 2000
36850 steer 3189
36860 steer 7712
36870 steer 9616
36880 steer 12234
36890 steer 16992
36910 steer 21752
36920 steer 31032
36930 steer 50546
36940 steer 64824
36950 steer 65536
37240 steer 57922
37250 steer 47691
37260 steer 42217
37270 steer 30319
37280 steer 24132
37300 steer 9378
37310 steer 0
37440 steer 4856
37450 steer 21752
37460 steer 26510
37470 steer 42455
37480 steer 51260
37490 steer 57209
37500 steer 60064
37510 steer 59351
37520 steer 62920
37540 steer 64109
37550 steer 62444
37580 steer 49355
37590 steer 43882
37600 steer 30319
37610 steer 15565
37620 steer 0
37990 steer -5089
38000 steer -7231
38010 steer -12943
38020 steer -13894
38030 steer -18654
38040 steer -20796
38050 steer -24365
38060 steer -27221
38070 steer -31506
38080 steer -32932
38090 steer -32219
38160 steer -16274
38170 steer -12705
38180 steer -10800
38190 steer 0
38240 steer 1049
38250 steer 3429
38270 steer 7236
38280 steer 10329
38290 steer 16516
38300 steer 19372
38310 steer 27939
38320 steer 34363
38330 steer 43644
38340 steer 47453
38350 steer 49117
38360 steer 50546
38370 steer 49833
38390 steer 49117
38400 steer 47691
38420 steer 50784
38430 steer 57922
38440 steer 56495
38450 steer 65536
38760 steer 50784
38770 steer 32699
38780 steer 17705
38790 steer 6760
38800 steer -1758
38810 steer -12705
38820 steer -17703
38830 steer -24128
38840 steer -36263
38860 steer -46259
38870 steer -53160
38890 steer -55777
38900 steer -56491
38910 steer -65295
38920 steer -65536
39040 steer -62678
39050 steer -62915
39050-39890 press down
39060 steer -46022
39070 steer -35788
39080 steer -35075
39090 steer -36026
39100 steer -53397
39110 steer -65536
39120 steer -65295
39130 steer -65536
39330-40010 press up
40050-51820 press up
40650 steer -50779
40660 steer -32694
40670 steer -16512
40680 steer 0
40750 steer -4614
40760 steer -20796
40780 steer -49115
40790 steer -56491
40810 steer -61251
40820 steer -65536
42080 steer -56491
42090 steer -20083
42100 steer -3663
42110 steer 0
42180 steer -807
42190 steer -7707
42200 steer -19605
42210 steer -20559
42220 steer -24603
42230 steer -41737
42250 steer -53873
42270 steer -56966
42280 steer -56015
42290 steer -65536
42300 steer -64582
42310 steer -65295
42320 steer -65536
42430 steer -59346
42450 steer -49115
42460 steer -44830
42470 steer -46973
42480 steer -42926
42490 steer -45782
42500 steer -47210
42510 steer -45544
42520 steer -44117
42530 steer -47210
42540 steer -48399
42550 steer -48877
42570 steer -48162
42600 steer -49353
42620 steer -52208
42630 steer -53873
42640 steer -55302
42650 steer -56253
42660 steer -54586
42670 steer -65295
42680 steer -65536
42890 steer -65295
42900 steer -30314
42910 steer -13181
42920 steer 0
43120 steer 2238
43140 steer 3667
43150 steer 4380
43160 steer 8187
43170 steer 12472
43180 steer 21990
43190 steer 28414
43210 steer 36030
43230 steer 35317
43270 steer 30557
43280 steer 29843
43290 steer 21276
43300 steer 4380
43320 steer 0
43350 steer -2949
43360 steer -4376
43370 steer -3900
43490 steer -4614
43500 steer -7231
43510 steer -7945
43540 steer -12705
43550 steer -21034
43570 steer -27459
43580 steer -34837
43590 steer -40310
43600 steer -34361
43610 steer -46259
43620 steer -53635
43630 steer -56491
43650 steer -65536
43830 steer -61251
43840 steer -54348
43850 steer -20796
43860 steer 0
43890 steer 1287
43900 steer 2000
43910 steer 6760
43920 steer 10805
43930 steer 21039
43940 steer 27701
43950 steer 31746
43960 steer 42693
43970 steer 47691
43980 steer 45786
43990 steer 44597
44010 steer 14136
44020 steer 3905
44030 steer 1287
44040 steer 0
44320-44410 press down
44970 steer 4143
44980 steer 6998
44990 steer 14850
45000 steer 16041
45010 steer 18659
45020 steer 28652
45030 steer 28414
45050 steer 40550
45060 steer 41979
45070 steer 47928
45080 steer 51973
45100 steer 62207
45110 steer 65536
45220 steer 57446
45240 steer 46977
45250 steer 13898
45270 steer 1525
45280 steer 0
45290 steer -807
45300 steer -7945
45310 steer -12705
45320 steer -22223
45330 steer -20083
45340 steer -26270
45350 steer -39357
45360 steer -40310
45380 steer -53635
45390 steer -55064
45410 steer -64107
45420 steer -65536
45600 steer -32694
45610 steer -10563
45630 steer 0
45750 steer 4618
45770 steer 6523
45780 steer 13898
